Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),RxBt(V),Curr(A),Capa(mAh),Ptch(rad),Roll(rad),Yaw(rad),GPS,GSpd(kmh),Hdg(°),Alt(m),VSpd(m/s),FM,Sats,TxBat(V),Rud,Ele,Thr,Ail
2024-09-15,14:23:00.000,-45,-51,100,14,12.60,8.0,2,0.0000,0.0000,1.5708,25.000000 -150.000000,0.0,90,0.0,0.00,MANU,12,7.8,0,0,-1024,0
2024-09-15,14:23:01.000,-46,-51,100,14,12.63,8.0,4,0.0000,0.0000,1.5708,25.000000 -150.000000,0.0,90,0.0,0.00,MANU,12,7.8,0,0,-1024,0
2024-09-15,14:23:02.000,-47,-50,100,14,12.64,8.0,7,0.0000,0.0000,1.5708,25.000000 -150.000000,0.0,90,0.0,0.00,MANU,12,7.8,0,0,-1024,0
2024-09-15,14:23:03.000,-47,-49,100,14,12.62,8.0,9,0.0000,0.0000,1.5708,25.000000 -150.000000,0.0,90,0.0,0.00,MANU,12,7.8,0,0,-1024,0
2024-09-15,14:23:04.000,-48,-48,100,14,12.59,8.0,11,0.0000,0.0000,1.5708,25.000000 -150.000000,0.0,90,0.0,0.00,MANU,12,7.8,0,0,-1024,0
2024-09-15,14:23:05.000,-48,-47,100,14,12.55,8.0,13,0.0000,0.0000,1.5708,25.000000 -150.000000,0.0,90,0.0,0.00,MANU,12,7.8,0,0,-1024,0
2024-09-15,14:23:06.000,-48,-46,100,14,12.52,8.0,16,0.0000,0.0000,1.5708,25.000000 -150.000000,0.0,90,0.0,0.00,MANU,12,7.8,0,0,-1024,0
2024-09-15,14:23:07.000,-48,-45,100,14,12.51,8.0,18,0.0000,0.0000,1.5708,25.000000 -150.000000,0.0,90,0.0,0.00,MANU,12,7.8,0,0,-1024,0
2024-09-15,14:23:08.000,-47,-45,100,14,12.52,8.0,20,0.0000,0.0000,1.5708,25.000000 -150.000000,0.0,90,0.0,0.00,MANU,12,7.8,0,0,-1024,0
2024-09-15,14:23:09.000,-46,-45,100,14,12.54,8.0,22,0.0000,0.0000,1.5708,25.000000 -150.000000,0.0,90,0.0,0.00,MANU,12,7.8,0,0,-1024,0
2024-09-15,14:23:10.000,-46,-46,100,14,12.57,15.0,26,0.2000,0.0000,1.5708,25.000000 -149.999903,35.0,90,0.0,0.00,ANGL,12,7.8,0,0,0,0
2024-09-15,14:23:11.000,-45,-47,99,14,12.58,15.2,31,0.1983,0.0000,1.5708,25.000000 -149.999805,35.8,90,2.7,2.67,ANGL,12,7.8,0,0,0,0
2024-09-15,14:23:12.000,-44,-49,99,14,12.57,13.8,34,0.1967,0.0000,1.5708,25.000000 -149.999703,36.7,90,5.3,2.67,ANGL,12,7.8,0,0,0,0
2024-09-15,14:23:13.000,-44,-50,99,14,12.53,14.2,38,0.1950,0.0000,1.5708,25.000000 -149.999600,37.5,90,8.0,2.67,ANGL,12,7.8,0,0,0,0
2024-09-15,14:23:14.000,-43,-51,98,14,12.49,14.7,42,0.1933,0.0000,1.5708,25.000000 -149.999494,38.3,90,10.7,2.67,ANGL,12,7.8,0,0,0,0
2024-09-15,14:23:15.000,-43,-52,98,14,12.46,15.4,47,0.1917,0.0000,1.5708,25.000000 -149.999386,39.2,90,13.3,2.67,ANGL,12,7.8,0,0,0,0
2024-09-15,14:23:16.000,-43,-52,98,14,12.45,16.2,51,0.1900,0.0000,1.5708,25.000000 -149.999276,40.0,90,16.0,2.67,ANGL,12,7.8,0,0,0,0
